id,name,code
hr_profession_11110,Representantes do poder legislativo e de órgãos executivos,11110
hr_profession_11120,Dirigente superior da Administração Pública,11120
hr_profession_11130,Chefe tradicional e chefe de aldeia,11130
hr_profession_11140,Dirigente de organizações de interesse especial,11140
hr_profession_11200,"Director geral e gestor executivo, de empresas ",11200
hr_profession_12110,Director financeiro,12110
hr_profession_12120,Director de recursos humanos,12120
hr_profession_12130,Directores de estratégia e planeamento,12130
hr_profession_12190,Outros directores de serviços de negócios e de administração,12190
hr_profession_12211,Director de vendas,12211
hr_profession_12212,Director de marketing,12212
hr_profession_12221,Director de publicidade,12221
hr_profession_12222,Director de relações públicas,12222
hr_profession_12230,Directores de investigação e desenvolvimento,12230
hr_profession_13111,Director de produção na agricultura,13111
hr_profession_13112,Director de produção animal,13112
hr_profession_13113,Director de produção florestal,13113
hr_profession_13121,Director de produção na pesca,13121
hr_profession_13122,Director de produção na aquicultura,13122
hr_profession_13210,Director das indústrias transformadoras,13210
hr_profession_13220,Director das indústrias extractivas,13220
hr_profession_13230,Director das indústrias de construção e de engenharia civil,13230
hr_profession_13241,Director de compras,13241
hr_profession_13242,Director de transportes,13242
hr_profession_13243,"Directores de armazenagem, distribuição e relacionados",13243
hr_profession_13300,Directores dos serviços das tecnologias da informação e comunicação (TIC),13300
hr_profession_13410,Director dos serviços de cuidados de crianças,13410
hr_profession_13420,Director dos serviços de saúde,13420
hr_profession_13430,Director dos serviços de cuidados a pessoas idosas,13430
hr_profession_13440,Director dos serviços de apoio social,13440
hr_profession_13450,Director dos serviços de educação,13450
hr_profession_13460,"Director de sucursais de bancos, serviços financeiros e de seguros",13460
hr_profession_13491,"Director de bibliotecas, arquivos, museus, galerias de arte e monumentos nacionais ",13491
hr_profession_13492,"Oficiais e outros profissionais, das forças e serviços de segurança, com funções de comando, direcção ou chefia ",13492
hr_profession_13493,"Director de outros serviços especializados, n.e.",13493
hr_profession_14110,"Director e gerente, de hotéis e similares",14110
hr_profession_14120,Director e gerente de restauração (restaurantes e similares),14120
hr_profession_14201,Director e gerente do comércio a retalho,14201
hr_profession_14202,Director e gerente do comércio por grosso,14202
hr_profession_14310,"Director e gerente dos centros desportivos, recreativos e culturais",14310
hr_profession_14390,"Director e gerente de outros serviços, n.e. ",14390
hr_profession_21111,Físico,21111
hr_profession_21112,Astrónomo,21112
hr_profession_21120,Meteorologista,21120
hr_profession_21130,Químico,21130
hr_profession_21141,Geólogo,21141
hr_profession_21142,Geofísico,21142
hr_profession_21143,Oceanógrafo,21143
hr_profession_21201,Matemático,21201
hr_profession_21202,Actuário,21202
hr_profession_21203,Estaticista e demógrafo,21203
hr_profession_21311,Biólogo,21311
hr_profession_21312,Botânico,21312
hr_profession_21313,Zoólogo,21313
hr_profession_21314,Farmacologista e outros especialistas relacionados,21314
hr_profession_21321,Engenheiro agrónomo,21321
hr_profession_21322,Engenheiro florestal,21322
hr_profession_21323,Consultor de actividades das pescas,21323
hr_profession_21330,Especialista da protecção do ambiente,21330
hr_profession_21410,Engenheiro industrial e de produção,21410
hr_profession_21421,Engenheiro de construção de edifícios,21421
hr_profession_21422,Engenheiro de obras de engenharia civil,21422
hr_profession_21430,Engenheiro do ambiente,21430
hr_profession_21440,Engenheiro mecânico,21440
hr_profession_21450,Engenheiro químico,21450
hr_profession_21461,Engenheiro de minas,21461
hr_profession_21462,Engenheiro metalúrgico,21462
hr_profession_21463,Outros engenheiros relacionados com minas e metalurgia,21463
hr_profession_21490,Outros especialistas em engenharia (excepto electrotecnologia),21490
hr_profession_21510,Engenheiro electrotécnico,21510
hr_profession_21520,Engenheiro electrónico,21520
hr_profession_21530,Engenheiro de telecomunicações,21530
hr_profession_21610,Arquitecto de edifícios,21610
hr_profession_21620,Arquitecto paisagista,21620
hr_profession_21631,Designer de produto industrial ou de equipamento,21631
hr_profession_21632,Designer de têxteis e moda,21632
hr_profession_21633,"Designer de interiores, espaços ou de ambientes",21633
hr_profession_21640,Urbanista de cidade e tráfego,21640
hr_profession_21651,Cartógrafo e agrimensor,21651
hr_profession_21652,Topógrafo e similares,21652
hr_profession_21660,"Designer, gráfico ou de comunicação e multimédia",21660
hr_profession_22111,Médico de medicina geral e familiar,22111
hr_profession_22112,Outros médicos generalistas,22112
hr_profession_22121,Médico de especialidades cirúrgicas,22121
hr_profession_22122,Médico de especialidades médicas,22122
hr_profession_22123,Médico de especialidades técnicas,22123
hr_profession_22211,Enfermeiro de cuidados gerais,22211
hr_profession_22212,Enfermeiro especialista em reabilitação,22212
hr_profession_22213,Enfermeiro especialista em saúde infantil e pediátrica,22213
hr_profession_22214,Enfermeiro especialista em saúde mental e psiquiátrica,22214
hr_profession_22215,Enfermeiro especialista em enfermagem comunitária,22215
hr_profession_22216,Enfermeiro especialista em enfermagem médico-cirúrgica,22216
hr_profession_22217,Outros enfermeiros especialistas (excepto em saúde materna e obstétrica),22217
hr_profession_22220,Enfermeiro especialista em saúde materna e obstétrica,22220
hr_profession_22301,Acupunctor,22301
hr_profession_22302,Homeopata,22302
hr_profession_22303,Outros especialistas em medicina tradicional e alternativa,22303
hr_profession_22400,Profissional paramédico,22400
hr_profession_22500,Veterinário,22500
hr_profession_22611,Médico estomatologista,22611
hr_profession_22612,Médico dentista,22612
hr_profession_22620,Farmacêutico,22620
hr_profession_22630,"Especialista em higiene e saúde, ambiental e laboral",22630
hr_profession_22640,Fisioterapeuta,22640
hr_profession_22650,Dietista e nutricionista,22650
hr_profession_22661,Audiologista,22661
hr_profession_22662,Terapeuta da fala,22662
hr_profession_22670,Optometrista e óptico oftálmico,22670
hr_profession_22691,Terapeuta ocupacional,22691
hr_profession_22692,"Outros profissionais da saúde diversos, n.e. ",22692
hr_profession_23100,Professor dos ensinos universitário e superior,23100
hr_profession_23200,"Professor dos ensinos, tecnológico, artístico e profissional",23200
hr_profession_23300,Professor dos ensinos básico (2º e 3º ciclos) e secundário,23300
hr_profession_23410,Professor do ensino básico (1º ciclo),23410
hr_profession_23420,Educador de infância,23420
hr_profession_23510,Especialista em métodos de ensino,23510
hr_profession_23520,Professor do ensino especial,23520
hr_profession_23530,Outros professores de línguas,23530
hr_profession_23540,Outros professores de música,23540
hr_profession_23550,Outros professores de arte,23550
hr_profession_23560,Formador em tecnologias de informação,23560
hr_profession_23590,"Outros especialistas do ensino, n.e. ",23590
hr_profession_24110,"Contabilista, auditor, revisor oficial de contas e similares ",24110
hr_profession_24120,Consultor financeiro e de investimentos,24120
hr_profession_24130,Analista financeiro,24130
hr_profession_24210,Analista em gestão e organização,24210
hr_profession_24220,Especialista em políticas da administração,24220
hr_profession_24230,Especialista em recursos humanos,24230
hr_profession_24240,Especialista em formação e desenvolvimento de recursos humanos,24240
hr_profession_24310,Especialista em publicidade e marketing,24310
hr_profession_24320,Especialista em relações públicas,24320
hr_profession_24331,Delegado de informação médica,24331
hr_profession_24332,Outros especialistas em venda de material técnico e médico (excepto TIC),24332
hr_profession_24340,Especialista em vendas de tecnologias de informação e comunicação (TIC),24340
hr_profession_25110,Analista de sistemas,25110
hr_profession_25120,Programador de software,25120
hr_profession_25130,Programador Web e de multimédia,25130
hr_profession_25140,Programador de aplicações,25140
hr_profession_25190,"Outros analistas e programadores, de software e aplicações",25190
hr_profession_25210,Administrador e especialista de concepção de base de dados,25210
hr_profession_25220,Administrador de sistemas,25220
hr_profession_25230,Especialista de redes informáticas,25230
hr_profession_25290,Outros especialistas em base de dados e redes,25290
hr_profession_26111,Advogado,26111
hr_profession_26112,Solicitador,26112
hr_profession_26120,Magistrado (Judicial e do Ministério Público),26120
hr_profession_26191,"Conservador dos registos civil, automóvel, comercial e predial ",26191
hr_profession_26192,Notário,26192
hr_profession_26193,"Outros especialistas em assuntos jurídicos, n.e.",26193
hr_profession_26211,Arquivista,26211
hr_profession_26212,Curador de museus,26212
hr_profession_26220,Bibliotecários e outros especialistas de informação relacionados,26220
hr_profession_26310,Economista,26310
hr_profession_26321,Sociólogo,26321
hr_profession_26322,Geógrafo,26322
hr_profession_26323,Arqueólogo,26323
hr_profession_26324,Antropólogo e similares,26324
hr_profession_26331,Filósofo,26331
hr_profession_26332,Historiador,26332
hr_profession_26333,Especialista em ciências políticas,26333
hr_profession_26340,Psicólogo,26340
hr_profession_26350,Especialista do trabalho social,26350
hr_profession_26360,Ministro de culto,26360
hr_profession_26410,Autor e escritor,26410
hr_profession_26420,Jornalista,26420
hr_profession_26431,Filólogo,26431
hr_profession_26432,Tradutor,26432
hr_profession_26433,Intérprete e outros linguistas,26433
hr_profession_26511,Escultor,26511
hr_profession_26512,Pintor de arte,26512
hr_profession_26513,Caricaturista,26513
hr_profession_26514,Outros artistas de artes visuais,26514
hr_profession_26521,Compositor,26521
hr_profession_26522,Músico,26522
hr_profession_26523,Cantor,26523
hr_profession_26531,Bailarino,26531
hr_profession_26532,Coreógrafo,26532
hr_profession_26541,Realizador de cinema e teatro,26541
hr_profession_26542,Encenador de teatro,26542
hr_profession_26543,Produtor de cinema e teatro,26543
hr_profession_26544,"Produtor e realizador, de televisão e rádio",26544
hr_profession_26545,"Director de fotografia e de som, montador e relacionados",26545
hr_profession_26550,Actor,26550
hr_profession_26560,"Locutor e apresentador, de rádio, de televisão e de outros meios de comunicação",26560
hr_profession_26591,Disc jockey,26591
hr_profession_26592,"Outros artistas e intérpretes criativos das artes do espectáculo, n.e.",26592
hr_profession_31111,Técnico das ciências físicas,31111
hr_profession_31112,Técnico das ciências químicas,31112
hr_profession_31120,Técnico de engenharia civil,31120
hr_profession_31130,Técnico de electricidade,31130
hr_profession_31140,Técnico de electrónica,31140
hr_profession_31151,Técnico de inspecção de veículos,31151
hr_profession_31152,Outros técnicos e inspectores de mecânica,31152
hr_profession_31160,Técnico de química industrial,31160
hr_profession_31170,Técnico da metalurgia de base e da indústria extractiva,31170
hr_profession_31180,Desenhadores e técnicos afins,31180
hr_profession_31191,Técnico de gás,31191
hr_profession_31192,"Outros técnicos das ciências físicas e de engenharia, n.e.",31192
hr_profession_31210,Encarregado da indústria extractiva,31210
hr_profession_31221,Encarregados das indústrias alimentares e das bebidas,31221
hr_profession_31222,"Encarregados das indústrias têxteis, do vestuário, calçado e curtumes",31222
hr_profession_31223,Encarregados das indústrias da madeira e cortiça,31223
hr_profession_31224,"Encarregados das indústrias da pasta, papel, impressão e similares",31224
hr_profession_31225,"Encarregados das indústrias da refinação do petróleo, químicas, produtos farmacêuticos e transformação de matérias plásticas e borracha",31225
hr_profession_31226,Encarregados das indústrias da transformação de minerais não metálicos,31226
hr_profession_31227,Encarregados das indústrias metalúrgicas de base e fabrico de produtos metálicos,31227
hr_profession_31228,Outros encarregados da indústria transformadora,31228
hr_profession_31230,Encarregado da construção,31230
hr_profession_31310,Técnico de operação de instalações de produção de energia,31310
hr_profession_31321,Técnico de operação de incineradores,31321
hr_profession_31322,Técnico de operação de instalações de tratamento de água,31322
hr_profession_31330,Técnico de controlo de instalações da indústria química,31330
hr_profession_31340,Técnico de operação de instalações de refinação de petróleo e gás natural,31340
hr_profession_31350,Técnico de controlo de instalações de produção de metais,31350
hr_profession_31390,Outros técnicos de controlo de processos industriais,31390
hr_profession_31410,Técnico das ciências da vida (excepto ciências médicas),31410
hr_profession_31421,Técnico agrícola,31421
hr_profession_31422,Técnico da produção animal,31422
hr_profession_31430,Técnico florestal (inclui cinegético),31430
hr_profession_31510,Oficial maquinista de navios,31510
hr_profession_31520,Oficial de convés e piloto de navios,31520
hr_profession_31530,Piloto de aeronaves,31530
hr_profession_31540,Controlador de tráfego aéreo,31540
hr_profession_31550,Técnico de segurança de sistemas electrónicos aeronáuticos,31550
hr_profession_32111,Técnico de cardiopneumografia,32111
hr_profession_32112,Técnico de radiologia,32112
hr_profession_32113,Técnico de medicina nuclear,32113
hr_profession_32114,Técnico de radioterapia,32114
hr_profession_32115,Outros técnicos de equipamento de diagnóstico e terapêutico,32115
hr_profession_32121,Técnico de análises clínicas,32121
hr_profession_32122,"Técnico de anatomia patológica, citológica e tanatológica",32122
hr_profession_32130,Técnicos e assistentes farmacêuticos,32130
hr_profession_32140,Técnico de próteses médicas e dentárias,32140
