id,code,name
hr_habilitation_111,111,NAO SABE LER NEM ESCREVER
hr_habilitation_112,112,SABE LER E ESCREVER SEM POSSUIR 1.CICLO ENSINO BASICO
hr_habilitation_211,211,1.CICLO ENSINO BASICO (4.ano)
hr_habilitation_212,212,1.CICLO ENSINO BASICO C/CURSOS INDOLE PROFISSIONAL
hr_habilitation_221,221,2.CICLO ENSINO BASICO (6.ano ou equivalente)
hr_habilitation_222,222,2.CICLO ENSINO BASICO C/CURSOS INDOLE PROFISSIONAL
hr_habilitation_231,231,3.CICLO ENSINO BASICO (9.ano ou equivalente)
hr_habilitation_232,232,"ENSINO TECNICO:C.GER.COMERCIAL,C.GER.INDUSTRIAL,C.GER.ARTES VISUAIS"
hr_habilitation_233,233,3.CICLO ENSINO BASICO C/CURSOS INDOLE PROFISSIONAL
hr_habilitation_234,234,CURSOS DAS ESCOLAS PROFISSIONAIS-NIVEL II
hr_habilitation_311,311,"ENSINO SECUNDARIO(12.ANO) EQUIV.C/CURS.IND.PROFISS.,ENS.SEC.LIC.COMPL."
hr_habilitation_312,312,ENSINO SECUNDARIO TECNICO COMPLEMENTAR
hr_habilitation_313,313,ENSINO SECUNDARIO TECNICO-PROFISSIONAL
hr_habilitation_314,314,CURSOS DAS ESCOLAS PROFISSIONAIS-NIVEL III
hr_habilitation_315,315,"ENSINO SECUNDARIO(12.ANO OU EQUIVALENTE),ENS.SEC.LIC.COMPL."
hr_habilitation_316,316,ENSINO SECUNDARIO C/CURSOS DE INDOLE PROFISSIONAL
hr_habilitation_414,414,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV FORMACAO DE PROFESSORES E CIENCIAS DA EDUCACAO
hr_habilitation_421,421,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV ARTES
hr_habilitation_422,422,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV HUMANIDADES
hr_habilitation_431,431,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV CIENCIAS SOCIAIS E DO COMPORTAMENTO
hr_habilitation_432,432,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV INFORMACAO E JORNALISMO
hr_habilitation_434,434,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV CIENCIAS EMPRESARIAIS
hr_habilitation_438,438,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV DIREITO
hr_habilitation_442,442,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV CIENCIAS DA VIDA
hr_habilitation_444,444,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV CIENCIAS FISICAS
hr_habilitation_446,446,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV MATEMATICA E ESTATISTICA
hr_habilitation_448,448,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV INFORMATICA
hr_habilitation_452,452,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV ENGENHARIA E TECNICAS AFINS
hr_habilitation_454,454,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV INDUSTRIAS TRANSFORMADORAS
hr_habilitation_458,458,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV ARQUITECTURA E CONSTRUCAO
hr_habilitation_462,462,"ENS. PÓS SECUND. N/SUPERIOR NIVEL IV AGRICULTURA, SILVICULTURA E PESCA"
hr_habilitation_464,464,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV CIENCIAS VETERINARIAS
hr_habilitation_472,472,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV SAUDE
hr_habilitation_476,476,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV SERVICOS SOCIAIS
hr_habilitation_481,481,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV SERVICOS PESSOAIS
hr_habilitation_484,484,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV SERVICOS DE TRANSPORTE
hr_habilitation_485,485,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV PROTECCAO DO AMBIENTE
hr_habilitation_486,486,ENS. PÓS SECUND. N/SUPERIOR NIVEL IV SERVICOS DE SEGURANCA
