id,name,company_tax_rate,employee_tax_rate,notes
hr_ss_taxes_trab_geral,Trabalhadores em geral,23.75,11,
hr_ss_taxes_moe_geral,MOE em geral,20.3,9.3,
hr_ss_taxes_moe_funcoes_gerencia_adm,MOE que exerçam funções de gerência ou de administração,23.75,11,
hr_ss_taxes_trab_domicilio,Trabalhadores no domicílio,20.3,9.3,
hr_ss_taxes_praticantes_desportivos_prof,Praticantes desportivos profissionais,22.3,11,
hr_ss_taxes_trab_contrato_curta_duracao,Trabalhadores em regime de contrato de muito curta duração,26.1,0,
hr_ss_taxes_trab_pre_reforma_sus_pres_trab,Trabalhadores em pré-reforma com suspensão da prestação de trabalho,18.3,8.6,
hr_ss_taxes_trab_65_anos_40_servico,Trabalhadores ativos com 65 anos de idade e 40 de serviço,17.3,8,
hr_ss_taxes_pensionistas_inv_ativ,Pensionistas de invalidez em atividade,19.3,8.9,
hr_ss_taxes_pensionistas_velh_ativ,Pensionistas de velhice em atividade,16.4,7.5,
hr_ss_taxes_pensionistas_inv_ativ_func_pub,Pensionistas de invalidez em exercício de funções públicas,20.4,9.2,
hr_ss_taxes_pensionistas_velh_ativ_func_pub,Pensionistas de velhice em exercício de funções públicas,17.5,7.8,
hr_ss_taxes_trab_agricolas,Trabalhadores agrícolas,22.3,11,
hr_ss_taxes_trab_pesca_local,Trabalhadores da pesca local e costeira,21,8,
hr_ss_taxes_prop_emb_integ_rol_trip,Proprietários de embarcações que integrem o rol de tripulação,21,8,
hr_ss_taxes_apanhadores_esp_mar,Apanhadores de espécies marinhas,21,8,
hr_ss_taxes_pescadores_apeados,Pescadores apeados,21,8,
hr_ss_taxes_trab_inst_part_s_s,Trabalhadores das Instituições Particulares de Solidariedade Social,22.3,11,
hr_ss_taxes_trab_outras_ent_sem_fins_luc,Trabalhadores de outras entidades sem fins lucrativos,22.3,11,
hr_ss_taxes_trab_exerc_func_vinc_contr,Trabalhadores que exercem funções com vínculo de contrato,23.75,11,
hr_ss_taxes_trab_exerc_func_vinc_nom,Trabalhadores que exercem funções com vínculo de nomeação,18.6,11,
hr_ss_taxes_trab_serc_domes_sem_prot_desem,Trabalhadores do serviço doméstico sem proteção no desemprego,18.9,9.4,
hr_ss_taxes_trab_serc_domes_com_prot_desem,Trabalhadores do serviço doméstico com proteção no desemprego,22.3,11,
hr_ss_taxes_trab_def_cap_inf_80,Trabalhadores portadores de deficiência com capacidade de trabalho inferior a 80%,11.9,11,
hr_ss_taxes_memb_igr_ass_conf_relig_prot_d_p_dp_i_v_m,"Membros das igrejas, associações e confissões religiosas (com proteção na doença, parentalidade, doenças profissionais, invalidez, velhice e morte)",19.7,8.6,
hr_ss_taxes_memb_igr_ass_conf_relig_prot_i_v,"Membros das igrejas, associações e confissões religiosas (com proteção na invalidez e velhice)",16.2,7.6,
hr_ss_taxes_trab_pt_com,"Trabalhadores da PT Comunicações, S. A. oriundos da CTT",7.8,0,
hr_ss_taxes_jovens_ferias_escolares,Jovens em férias escolares,26.1,0,
hr_ss_taxes_des_long_dur_dl_72_2017,Desempregados de Longa Duração (DL 72/2017 - redução temporária de 50% por um período de três anos),11.9,11,
hr_ss_taxes_jov_pro_emp_50_5_anos,"Jovens à procura do 1.º emprego - 50% da taxa contributiva, durante um período de 5 anos",11.9,11,
hr_ss_taxes_des_muita_longa_dur,Desempregados de muito longa duração,11,0,
